id,movie_id,provider_name
1222,82390,wavve
1223,8698,Disney Plus
1224,2082,wavve
1225,946327,Netflix
1226,620,Netflix
1227,617126,Disney Plus
1228,1637,Disney Plus
1229,374853,Watcha
1230,274857,Netflix
1231,137106,Watcha
1232,347969,Netflix
1233,400136,Netflix
1234,4951,Disney Plus
1235,559969,Netflix
1236,8373,wavve
1237,259694,Watcha
1238,11298,wavve
1239,290595,wavve
1240,722778,Netflix
1241,10867,wavve
1242,142,Watcha
1243,5689,wavve
1244,483980,Disney Plus
1245,80274,Watcha
1246,1422,Watcha
1247,316029,Disney Plus
1248,137116,Netflix
1249,257211,Watcha
1250,776515,Netflix
1251,214553,Watcha
1252,405775,Amazon Prime Video
1253,806950,Amazon Prime Video
1254,9762,Watcha
1255,517088,Amazon Prime Video
1256,395990,Netflix
1257,9928,Disney Plus
1258,4233,wavve
1259,188927,Netflix
1260,327833,wavve
1261,351460,Netflix
1262,242546,Watcha
1263,442062,Watcha
1264,762469,Netflix
1265,236751,Watcha
1266,2675,Disney Plus
1267,419479,Netflix
1268,461053,Netflix
1269,559957,Netflix
1270,1255,Watcha
1271,34295,wavve
1272,1824,Watcha
1273,745,Disney Plus
1274,11283,wavve
1275,65,Watcha
1276,35019,wavve
1277,9594,wavve
1278,8358,Watcha
1279,3050,Disney Plus
1280,758510,Amazon Prime Video
1281,12594,wavve
1282,785537,Netflix
1283,536115,Watcha
1284,423,Watcha
1285,325348,wavve
1286,271706,Watcha
1287,10764,wavve
1288,551804,Netflix
1289,181656,wavve
1290,401981,Disney Plus
1291,16007,Watcha
1292,8835,Watcha
1293,575813,Watcha
1294,954,Watcha
1295,712121,DocAlliance Films
1296,559907,Watcha
1297,3981,Watcha
1298,9348,wavve
1299,84892,Watcha
1300,22843,Amazon Prime Video
1301,1975,wavve
1302,70436,wavve
1303,9323,Watcha
1304,625450,Netflix
1305,346648,wavve
1306,840283,Watcha
